system,system_name,school,school_name,pool,subgroup,achievement_score,achievement_base_weighting,chronic_absenteeism_score,chronic_absenteeism_base_weighting,elpa_growth_standard_score,elpa_growth_standard_base_weighting,graduation_rate_score,graduation_rate_base_weighting,growth_score,growth_base_weighting,ready_graduates_score,ready_graduates_base_weighting,f_elpa_weight,f_achievement_weight,f_growth_weight,f_ready_grad_weight,f_grad_weight,f_chronic_absent_weight,total_weight,final_score
10,Anderson County,5,Andersonville Elementary,K8,Students with Disabilities,NA,0.45,1,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0,0.8,NA,NA,0.2,0.5,1.8
10,Anderson County,5,Andersonville Elementary,K8,Super Subgroup,4,0.45,NA,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,4
10,Anderson County,10,Briceville Elementary,K8,All Students,2,0.45,4,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3
10,Anderson County,10,Briceville Elementary,K8,Black/Hispanic/Native American,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,10,Briceville Elementary,K8,Economically Disadvantaged,2,0.45,4,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.6
10,Anderson County,10,Briceville Elementary,K8,Students with Disabilities,NA,0.45,4,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0,0.8,NA,NA,0.2,0.5,4
10,Anderson County,10,Briceville Elementary,K8,Super Subgroup,2,0.45,NA,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,2.4
10,Anderson County,15,Claxton Elementary,K8,All Students,2,0.45,4,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.6
10,Anderson County,15,Claxton Elementary,K8,Black/Hispanic/Native American,NA,0.45,4,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0,0.8,NA,NA,0.2,0.5,2.4
10,Anderson County,15,Claxton Elementary,K8,Economically Disadvantaged,2,0.45,4,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.6
10,Anderson County,15,Claxton Elementary,K8,English Learners with Transitional 1-4,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,15,Claxton Elementary,K8,Students with Disabilities,2,0.45,4,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.2
10,Anderson County,15,Claxton Elementary,K8,Super Subgroup,2,0.45,NA,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,2.4
10,Anderson County,20,Clinton Middle School,K8,All Students,2,0.45,2,0.1,NA,0.1,NA,NA,0,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,1.2
10,Anderson County,20,Clinton Middle School,K8,Black/Hispanic/Native American,2,0.45,4,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.2
10,Anderson County,20,Clinton Middle School,K8,Economically Disadvantaged,2,0.45,3,0.1,NA,0.1,NA,NA,0,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,1.3
10,Anderson County,20,Clinton Middle School,K8,English Learners with Transitional 1-4,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,20,Clinton Middle School,K8,Students with Disabilities,0,0.45,2,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,1
10,Anderson County,20,Clinton Middle School,K8,Super Subgroup,1,0.45,NA,0.1,NA,0.1,NA,NA,0,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,0.6
10,Anderson County,25,Clinton High School,HS,All Students,3,0.3,4,0.1,NA,0.1,4,0.05,2,0.25,3,0.2,0,0.35,0.3,0.2,0.05,0.1,0.9999999999999999,2.9
10,Anderson County,25,Clinton High School,HS,Black/Hispanic/Native American,3,0.3,4,0.1,NA,0.1,NA,0.05,0,0.25,NA,0.2,0,0.47,0.4,0,0,0.13,0.7499999999999999,1.9
10,Anderson County,25,Clinton High School,HS,Economically Disadvantaged,3,0.3,4,0.1,NA,0.1,3,0.05,2,0.25,0,0.2,0,0.35,0.3,0.2,0.05,0.1,0.9999999999999999,2.2
10,Anderson County,25,Clinton High School,HS,English Learners with Transitional 1-4,NA,0.3,NA,0.1,NA,0.1,NA,0.05,NA,0.25,NA,0.2,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,25,Clinton High School,HS,Students with Disabilities,2,0.3,4,0.1,NA,0.1,4,0.05,2,0.25,0,0.2,0,0.35,0.3,0.2,0.05,0.1,0.9999999999999999,1.9
10,Anderson County,25,Clinton High School,HS,Super Subgroup,3,0.3,NA,0.1,NA,0.1,NA,0.05,2,0.25,0,0.2,0,0.41,0.35,0.24,0,0,0.8499999999999999,1.9
10,Anderson County,35,Dutch Valley Elementary,K8,All Students,2,0.45,4,0.1,NA,0.1,NA,NA,1,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,1.8
10,Anderson County,35,Dutch Valley Elementary,K8,Black/Hispanic/Native American,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,35,Dutch Valley Elementary,K8,Economically Disadvantaged,NA,0.45,4,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0,0.8,NA,NA,0.2,0.5,2.4
10,Anderson County,35,Dutch Valley Elementary,K8,Students with Disabilities,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,35,Dutch Valley Elementary,K8,Super Subgroup,NA,0.45,NA,0.1,NA,0.1,NA,NA,1,0.35,NA,NA,0,0,1,NA,NA,0,0.39999999999999997,1
10,Anderson County,35,Dutch Valley Elementary,K8,English Learners with Transitional 1-4,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,40,Fairview Elementary,K8,All Students,4,0.45,4,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,4
10,Anderson County,40,Fairview Elementary,K8,Black/Hispanic/Native American,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,40,Fairview Elementary,K8,Economically Disadvantaged,4,0.45,3,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3.9
10,Anderson County,40,Fairview Elementary,K8,English Learners with Transitional 1-4,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,40,Fairview Elementary,K8,Students with Disabilities,3,0.45,4,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.7
10,Anderson County,40,Fairview Elementary,K8,Super Subgroup,4,0.45,NA,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,4
10,Anderson County,46,Grand Oaks Elementary,K8,All Students,4,0.45,4,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,4
10,Anderson County,46,Grand Oaks Elementary,K8,Black/Hispanic/Native American,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,46,Grand Oaks Elementary,K8,Economically Disadvantaged,3,0.45,4,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3.5
10,Anderson County,46,Grand Oaks Elementary,K8,Students with Disabilities,NA,0.45,4,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0,0.8,NA,NA,0.2,0.5,2.4
10,Anderson County,46,Grand Oaks Elementary,K8,Super Subgroup,3,0.45,NA,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,3.4
10,Anderson County,50,Lake City Elementary,K8,All Students,3,0.45,4,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.7
10,Anderson County,50,Lake City Elementary,K8,Black/Hispanic/Native American,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,50,Lake City Elementary,K8,Economically Disadvantaged,3,0.45,4,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3.1
10,Anderson County,50,Lake City Elementary,K8,Students with Disabilities,2,0.45,1,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,1.9
10,Anderson County,50,Lake City Elementary,K8,Super Subgroup,3,0.45,NA,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,2.6
10,Anderson County,50,Lake City Elementary,K8,English Learners with Transitional 1-4,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,55,Lake City Middle School,K8,All Students,2,0.45,4,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3
10,Anderson County,55,Lake City Middle School,K8,Black/Hispanic/Native American,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,55,Lake City Middle School,K8,Economically Disadvantaged,2,0.45,4,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3
10,Anderson County,55,Lake City Middle School,K8,English Learners with Transitional 1-4,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,55,Lake City Middle School,K8,Students with Disabilities,1,0.45,4,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.5
10,Anderson County,55,Lake City Middle School,K8,Super Subgroup,2,0.45,NA,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,2.9
10,Anderson County,70,Norris Elementary,K8,All Students,4,0.45,4,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3.2
10,Anderson County,70,Norris Elementary,K8,Black/Hispanic/Native American,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,70,Norris Elementary,K8,Economically Disadvantaged,NA,0.45,4,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0,0.8,NA,NA,0.2,0.5,2.4
10,Anderson County,70,Norris Elementary,K8,Students with Disabilities,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,70,Norris Elementary,K8,Super Subgroup,NA,0.45,NA,0.1,NA,0.1,NA,NA,1,0.35,NA,NA,0,0,1,NA,NA,0,0.39999999999999997,1
10,Anderson County,75,Norris Middle School,K8,All Students,3,0.45,3,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3.4
10,Anderson County,75,Norris Middle School,K8,Black/Hispanic/Native American,NA,0.45,NA,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0,1,NA,NA,0,0.39999999999999997,3
10,Anderson County,75,Norris Middle School,K8,Economically Disadvantaged,3,0.45,4,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3.5
10,Anderson County,75,Norris Middle School,K8,English Learners with Transitional 1-4,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,75,Norris Middle School,K8,Students with Disabilities,1,0.45,4,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.5
10,Anderson County,75,Norris Middle School,K8,Super Subgroup,2,0.45,NA,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,2.9
10,Anderson County,80,Norwood Elementary,K8,All Students,2,0.45,4,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.6
10,Anderson County,80,Norwood Elementary,K8,Black/Hispanic/Native American,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,80,Norwood Elementary,K8,Economically Disadvantaged,2,0.45,4,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.6
10,Anderson County,80,Norwood Elementary,K8,Students with Disabilities,NA,0.45,2,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0,0.8,NA,NA,0.2,0.5,2
10,Anderson County,80,Norwood Elementary,K8,Super Subgroup,2,0.45,NA,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,2.4
10,Anderson County,85,Norwood Middle School,K8,All Students,3,0.45,4,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3.5
10,Anderson County,85,Norwood Middle School,K8,Black/Hispanic/Native American,NA,0.45,NA,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0,1,NA,NA,0,0.39999999999999997,2
10,Anderson County,85,Norwood Middle School,K8,Economically Disadvantaged,3,0.45,2,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3.3
10,Anderson County,85,Norwood Middle School,K8,English Learners with Transitional 1-4,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,85,Norwood Middle School,K8,Students with Disabilities,2,0.45,4,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3
10,Anderson County,85,Norwood Middle School,K8,Super Subgroup,2,0.45,NA,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,2.9
10,Anderson County,105,Clinch River Community School,NA,All Students,NA,NA,NA,0.1,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,105,Clinch River Community School,NA,Students with Disabilities,NA,NA,NA,0.1,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
11,Clinton,5,Clinton Elementary,K8,All Students,4,0.45,3,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3.5
11,Clinton,5,Clinton Elementary,K8,Black/Hispanic/Native American,3,0.45,3,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3
11,Clinton,5,Clinton Elementary,K8,Economically Disadvantaged,3,0.45,2,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.9
11,Clinton,5,Clinton Elementary,K8,English Learners with Transitional 1-4,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
11,Clinton,5,Clinton Elementary,K8,Students with Disabilities,NA,0.45,4,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0,0.8,NA,NA,0.2,0.5,2.4
11,Clinton,5,Clinton Elementary,K8,Super Subgroup,3,0.45,NA,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,3
11,Clinton,10,North Clinton Elementary,K8,All Students,2,0.45,2,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2
11,Clinton,10,North Clinton Elementary,K8,Black/Hispanic/Native American,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
11,Clinton,10,North Clinton Elementary,K8,Economically Disadvantaged,2,0.45,2,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2
11,Clinton,10,North Clinton Elementary,K8,English Learners with Transitional 1-4,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
11,Clinton,10,North Clinton Elementary,K8,Students with Disabilities,NA,0.45,4,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,0,0,0,NA,NA,1,0.1,4
11,Clinton,10,North Clinton Elementary,K8,Super Subgroup,2,0.45,NA,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,2
11,Clinton,15,South Clinton Elementary,K8,All Students,4,0.45,4,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3.2
11,Clinton,15,South Clinton Elementary,K8,Black/Hispanic/Native American,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
11,Clinton,15,South Clinton Elementary,K8,Economically Disadvantaged,2,0.45,4,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.2
11,Clinton,15,South Clinton Elementary,K8,English Learners with Transitional 1-4,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
11,Clinton,15,South Clinton Elementary,K8,Students with Disabilities,NA,0.45,4,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0,0.8,NA,NA,0.2,0.5,2.4
11,Clinton,15,South Clinton Elementary,K8,Super Subgroup,2,0.45,NA,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,2
12,Oak Ridge,15,Glenwood Elementary,K8,All Students,4,0.45,4,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,4
12,Oak Ridge,15,Glenwood Elementary,K8,Black/Hispanic/Native American,2,0.45,4,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3
12,Oak Ridge,15,Glenwood Elementary,K8,Economically Disadvantaged,3,0.45,4,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3.5
12,Oak Ridge,15,Glenwood Elementary,K8,English Learners with Transitional 1-4,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
12,Oak Ridge,15,Glenwood Elementary,K8,Students with Disabilities,NA,0.45,3,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0,0.8,NA,NA,0.2,0.5,3
12,Oak Ridge,15,Glenwood Elementary,K8,Super Subgroup,2,0.45,NA,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,2.9
12,Oak Ridge,25,Jefferson Middle School,K8,All Students,3,0.45,2,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3.3
12,Oak Ridge,25,Jefferson Middle School,K8,Black/Hispanic/Native American,3,0.45,3,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.6
12,Oak Ridge,25,Jefferson Middle School,K8,Economically Disadvantaged,3,0.45,2,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.5
12,Oak Ridge,25,Jefferson Middle School,K8,English Learners with Transitional 1-4,NA,0.45,NA,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0,1,NA,NA,0,0.39999999999999997,3
12,Oak Ridge,25,Jefferson Middle School,K8,Students with Disabilities,3,0.45,3,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3.4
12,Oak Ridge,25,Jefferson Middle School,K8,Super Subgroup,3,0.45,NA,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,3
12,Oak Ridge,30,Linden Elementary,K8,All Students,3,0.45,3,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3
12,Oak Ridge,30,Linden Elementary,K8,Black/Hispanic/Native American,2,0.45,2,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2
12,Oak Ridge,30,Linden Elementary,K8,Economically Disadvantaged,4,0.45,4,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3.2
12,Oak Ridge,30,Linden Elementary,K8,English Learners with Transitional 1-4,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
12,Oak Ridge,30,Linden Elementary,K8,Students with Disabilities,NA,0.45,4,0.1,NA,0.1,NA,NA,2,0.35,NA,NA,0,0,0.8,NA,NA,0.2,0.5,2.4
12,Oak Ridge,30,Linden Elementary,K8,Super Subgroup,4,0.45,NA,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,3.6
12,Oak Ridge,35,Oak Ridge High School,HS,All Students,3,0.3,4,0.1,1,0.1,2,0.05,4,0.25,4,0.2,0.1,0.3,0.25,0.2,0.05,0.1,1.0000000000000002,3.3
12,Oak Ridge,35,Oak Ridge High School,HS,Black/Hispanic/Native American,3,0.3,4,0.1,1,0.1,2,0.05,2,0.25,4,0.2,0.1,0.3,0.25,0.2,0.05,0.1,1.0000000000000002,2.8
12,Oak Ridge,35,Oak Ridge High School,HS,Economically Disadvantaged,2,0.3,4,0.1,NA,0.1,1,0.05,3,0.25,3,0.2,0,0.35,0.3,0.2,0.05,0.1,0.9999999999999999,2.7
12,Oak Ridge,35,Oak Ridge High School,HS,English Learners with Transitional 1-4,NA,0.3,NA,0.1,1,0.1,NA,0.05,NA,0.25,NA,0.2,1,0,0,0,0,0,0.1,1
12,Oak Ridge,35,Oak Ridge High School,HS,Students with Disabilities,2,0.3,4,0.1,NA,0.1,0,0.05,1,0.25,0,0.2,0,0.35,0.3,0.2,0.05,0.1,0.9999999999999999,1.4
12,Oak Ridge,35,Oak Ridge High School,HS,Super Subgroup,2,0.3,NA,0.1,NA,0.1,NA,0.05,3,0.25,3,0.2,0,0.41,0.35,0.24,0,0,0.8499999999999999,2.6
12,Oak Ridge,40,Robertsville Middle School,K8,All Students,3,0.45,2,0.1,1,0.1,NA,NA,4,0.35,NA,NA,0.1,0.45,0.35,NA,NA,0.1,1,3.1
12,Oak Ridge,40,Robertsville Middle School,K8,Black/Hispanic/Native American,2,0.45,3,0.1,1,0.1,NA,NA,3,0.35,NA,NA,0.1,0.45,0.35,NA,NA,0.1,1,2.4
12,Oak Ridge,40,Robertsville Middle School,K8,Economically Disadvantaged,2,0.45,4,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.6
12,Oak Ridge,40,Robertsville Middle School,K8,English Learners with Transitional 1-4,NA,0.45,NA,0.1,1,0.1,NA,NA,3,0.35,NA,NA,0.22,0,0.78,NA,NA,0,0.44999999999999996,2.6
12,Oak Ridge,40,Robertsville Middle School,K8,Students with Disabilities,1,0.45,0,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,2.1
12,Oak Ridge,40,Robertsville Middle School,K8,Super Subgroup,2,0.45,NA,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.56,0.44,NA,NA,0,0.8999999999999999,2.4
